userID,video_id,Rating
1,2kyS6SvSYSE,5
2,1ZAPwfrtAFY,10
3,5qpjK5DgCt4,5
4,puqaWrEC7tY,10
5,d380meD0W0M,5
6,gHZ1Qz0KiKM,9
7,39idVpFF7NQ,10
8,nc99ccSXST0,10
9,jr9QtXwC9vc,8
10,TUmyygCMMGA,7
11,9wRQljFNDW8,10
12,VifQlJit6A0,7
13,5E4ZBSInqUU,7
14,GgVmn66oK_A,5
15,TaTleo4cOs8,6
16,kgaO45SyaO4,8
17,ZAQs-ctOqXQ,7
18,YVfyYrEmzgM,5
19,eNSN6qet1kE,9
20,B5HORANmzHw,9
21,vU14JY3x81A,6
22,6VhU_T463sU,10
23,_-aDHxoblr4,10
24,JBZTZZAcFTw,8
25,lZ68j2J_GOM,7
26,dRpNZV18N_g,10
27,fcVjitaM3LY,9
28,qeWvgZLz9yU,7
29,iIxy3JN3-jc,8
30,n30k5CwLhS4,8
31,U0hAC8O7RoI,7
32,CBVGjS_EJok,5
33,n1WpP7iowLc,8
34,hz7ukDjuq4w,7
35,p2hJxyF7mok,5
36,0mlNzVSJrT0,5
37,Om_zGhJLZ5U,8
38,e_7zHm7GsYc,6
39,dQvIbulWCM4,6
40,zZ9FciUx6gs,8
41,PaJCFHXcWmM,5
42,goP4Z5wyOlM,7
43,NZFhMSgbKKM,6
44,0tO_l_Ed5Rs,8
45,STI2fI7sKMo,5
46,BWPrk9PUwQE,9
47,ogYum4kWXgk,5
48,sbcbvuitiTc,8
49,zNqCVTs38nU,6
50,DM-ni_LSOFE,5
51,0PpNlNJ6Nng,10
52,c-3JxzN2u34,5
53,069D0NmW39o,6
54,9t9u_yPEidY,7
55,KODzih-pYlU,8
56,8NHA23f7LvU,10
57,w0XYVssCKjw,6
58,9XSULcLI6Hg,8
59,pjuPpVLXDQg,9
60,9xSx-5tmq44,6
61,4v0nOAzcG2A,10
62,oTObwUiXdYY,6
63,1cgK-BIrXes,10
64,ujyTQNNjjDU,7
